epi:0, score:-10.0, step:4 
epi:1, score:-20.0, step:5 
epi:2, score:-40.0, step:12 
epi:3, score:-40.0, step:17 
epi:4, score:-30.0, step:8 
epi:5, score:-40.0, step:11 
epi:6, score:-40.0, step:11 
epi:7, score:-40.0, step:13 
epi:8, score:-30.0, step:9 
epi:9, score:-40.0, step:10 
epi:10, score:-40.0, step:8 
epi:11, score:-40.0, step:14 
epi:12, score:-40.0, step:12 
epi:13, score:-40.0, step:12 
epi:14, score:-10.0, step:5 
epi:15, score:-10.0, step:7 
epi:16, score:-40.0, step:11 
epi:17, score:-40.0, step:17 
epi:18, score:-10.0, step:11 
epi:19, score:-40.0, step:4 
epi:20, score:-10.0, step:9 
epi:21, score:-40.0, step:20 
epi:22, score:-10.0, step:6 
epi:23, score:-40.0, step:5 
epi:24, score:-20.0, step:6 
epi:25, score:-30.0, step:7 
epi:26, score:-40.0, step:8 
epi:27, score:0.0, step:11 
epi:28, score:-10.0, step:5 
epi:29, score:-30.0, step:11 
epi:30, score:-10.0, step:7 
epi:31, score:-40.0, step:9 
epi:32, score:-10.0, step:19 
epi:33, score:-20.0, step:11 
epi:34, score:-30.0, step:15 
epi:35, score:-20.0, step:10 
epi:36, score:-20.0, step:6 
epi:37, score:-40.0, step:9 
epi:38, score:-20.0, step:10 
epi:39, score:-10.0, step:10 
epi:40, score:-30.0, step:18 
epi:41, score:-40.0, step:15 
epi:42, score:-40.0, step:13 
